manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price
gmc,SUV,mid-size,2015,excellent,gas,34929,automatic,4wd,6 cylinders,blue,18997
ford,SUV,mid-size,2017,like new,gas,64241,automatic,4wd,4 cylinders,silver,18997
cadillac,sedan,mid-size,2014,excellent,gas,70669,automatic,4wd,4 cylinders,silver,18997
ford,sedan,mid-size,2019,excellent,hybrid,29196,automatic,fwd,4 cylinders,silver,18999
chevrolet,sedan,mid-size,2017,excellent,hybrid,35425,automatic,fwd,4 cylinders,black,18999
ram,pickup,full-size,2006,excellent,diesel,256053,automatic,rwd,6 cylinders,grey,18999
mazda,SUV,full-size,2016,like new,gas,39750,automatic,4wd,6 cylinders,grey,19000
cadillac,convertible,mid-size,2006,excellent,gas,41000,automatic,rwd,8 cylinders,silver,19000
volkswagen,sedan,compact,2016,excellent,gas,41214,automatic,fwd,4 cylinders,red,19000
volkswagen,hatchback,compact,2017,excellent,gas,49659,automatic,fwd,4 cylinders,silver,19000
ford,truck,full-size,2015,excellent,gas,168000,automatic,rwd,10 cylinders,red,19000
chevrolet,truck,full-size,2004,good,diesel,169971,automatic,4wd,8 cylinders,black,19000
dodge,mini-van,full-size,2019,like new,gas,27745,automatic,fwd,6 cylinders,black,19200
ford,van,full-size,2016,excellent,gas,121662,automatic,rwd,6 cylinders,white,19250
ford,wagon,compact,2017,excellent,hybrid,24730,automatic,fwd,4 cylinders,red,19256
lexus,SUV,mid-size,2013,like new,gas,91000,automatic,rwd,6 cylinders,black,19400
ford,pickup,full-size,2010,like new,gas,26000,automatic,rwd,8 cylinders,white,19444
jeep,SUV,full-size,2006,excellent,gas,118242,automatic,4wd,8 cylinders,black,19495
ford,sedan,mid-size,2017,like new,electric,22000,automatic,fwd,4 cylinders,white,19500
ford,truck,full-size,2014,good,gas,96000,automatic,4wd,8 cylinders,grey,19500
chevrolet,truck,full-size,2013,good,diesel,257238,automatic,4wd,8 cylinders,grey,19500
jeep,SUV,full-size,2017,good,gas,34783,automatic,4wd,4 cylinders,black,19748
chevrolet,van,mid-size,2014,good,gas,109527,automatic,4wd,8 cylinders,white,19750
chevrolet,van,mid-size,2014,good,gas,79091,automatic,4wd,8 cylinders,green,19788
ram,truck,full-size,2012,excellent,gas,83000,automatic,4wd,8 cylinders,grey,19800
ford,SUV,full-size,2019,good,gas,94123,automatic,4wd,4 cylinders,white,19800
toyota,SUV,mid-size,2018,like new,gas,6550,automatic,4wd,4 cylinders,black,19900
toyota,SUV,mid-size,2018,like new,gas,6550,automatic,4wd,4 cylinders,black,19900
bmw,sedan,compact,2016,excellent,gas,27991,automatic,rwd,4 cylinders,white,19900
chevrolet,coupe,full-size,2002,excellent,gas,40000,manual,rwd,8 cylinders,red,19900
ford,truck,full-size,2011,excellent,gas,44958,automatic,rwd,8 cylinders,grey,19900
nissan,truck,full-size,2017,good,gas,49508,automatic,rwd,8 cylinders,white,19900
jeep,SUV,mid-size,2014,excellent,gas,71400,automatic,4wd,6 cylinders,silver,19900
chevrolet,SUV,mid-size,2016,excellent,gas,72463,automatic,4wd,6 cylinders,white,19900
chevrolet,SUV,mid-size,2016,excellent,gas,72463,automatic,4wd,6 cylinders,white,19900
buick,SUV,full-size,2015,excellent,gas,77500,automatic,4wd,6 cylinders,blue,19900
lincoln,SUV,full-size,2014,excellent,gas,102500,automatic,rwd,8 cylinders,black,19900
ford,truck,full-size,2008,excellent,diesel,114400,automatic,4wd,8 cylinders,white,19900
ford,truck,full-size,2014,good,gas,136240,automatic,rwd,8 cylinders,white,19900
chevrolet,truck,mid-size,2011,excellent,gas,103651,automatic,4wd,8 cylinders,grey,19903
ford,coupe,sub-compact,2012,excellent,gas,46703,automatic,rwd,8 cylinders,red,19946
volkswagen,sedan,full-size,2019,excellent,gas,15014,automatic,fwd,4 cylinders,black,19987
volkswagen,convertible,mid-size,2015,excellent,gas,72809,automatic,fwd,4 cylinders,brown,19990
chevrolet,coupe,full-size,2017,excellent,gas,76373,automatic,rwd,6 cylinders,black,19990
honda,truck,full-size,2013,good,gas,78937,automatic,4wd,6 cylinders,white,19990
gmc,pickup,full-size,2011,excellent,gas,119127,automatic,rwd,8 cylinders,red,19990
ford,pickup,full-size,2011,good,gas,128647,automatic,4wd,8 cylinders,red,19990
ford,sedan,mid-size,2019,like new,hybrid,39411,automatic,fwd,4 cylinders,silver,19991
mini,hatchback,mid-size,2017,like new,gas,24230,automatic,fwd,4 cylinders,black,19995
toyota,sedan,mid-size,2018,excellent,gas,24500,automatic,fwd,4 cylinders,grey,19995
chevrolet,SUV,full-size,2017,like new,gas,48199,automatic,4wd,4 cylinders,black,19995
honda,mini-van,full-size,2016,excellent,gas,68317,automatic,fwd,6 cylinders,white,19995
dodge,SUV,full-size,2014,excellent,gas,69370,automatic,4wd,6 cylinders,white,19995
gmc,van,full-size,2009,excellent,gas,79602,automatic,rwd,8 cylinders,silver,19995
mercedes-benz,SUV,full-size,2014,good,gas,94474,automatic,4wd,8 cylinders,white,19995
ford,van,full-size,2015,like new,gas,118982,automatic,rwd,6 cylinders,white,19995
ford,truck,full-size,2012,excellent,gas,119800,automatic,4wd,8 cylinders,black,19995
gmc,truck,full-size,2013,like new,gas,127738,automatic,4wd,8 cylinders,white,19995
gmc,truck,full-size,2013,like new,gas,127738,automatic,4wd,8 cylinders,white,19995
ford,truck,full-size,2015,excellent,gas,128200,automatic,4wd,8 cylinders,green,19995
ford,pickup,full-size,2013,excellent,gas,148571,automatic,4wd,8 cylinders,white,19995
chevrolet,truck,full-size,2010,excellent,gas,149564,automatic,4wd,8 cylinders,silver,19995
ram,pickup,full-size,2009,excellent,diesel,301356,automatic,4wd,6 cylinders,black,19995
ford,truck,full-size,2013,good,gas,94308,automatic,rwd,8 cylinders,blue,19999
chevrolet,pickup,full-size,2015,excellent,gas,276976,automatic,4wd,8 cylinders,white,19999
chevrolet,pickup,full-size,2015,excellent,gas,276976,automatic,4wd,8 cylinders,white,19999
chevrolet,pickup,full-size,2015,excellent,gas,276976,automatic,4wd,8 cylinders,white,19999
chevrolet,SUV,mid-size,2019,like new,gas,8900,automatic,rwd,4 cylinders,white,20000
bmw,convertible,full-size,2005,excellent,gas,30200,automatic,rwd,8 cylinders,custom,20000
honda,SUV,full-size,2016,like new,gas,46000,automatic,fwd,4 cylinders,red,20000
infiniti,sedan,full-size,2015,excellent,gas,58000,automatic,4wd,6 cylinders,grey,20000
toyota,pickup,full-size,2014,excellent,gas,60820,manual,rwd,6 cylinders,grey,20000
jeep,SUV,compact,2011,excellent,gas,71864,automatic,4wd,6 cylinders,red,20000
chevrolet,truck,full-size,2008,excellent,gas,120000,automatic,4wd,8 cylinders,silver,20000
ford,pickup,full-size,2014,excellent,gas,144000,automatic,fwd,6 cylinders,green,20000
jeep,offroad,full-size,2004,excellent,gas,145000,automatic,4wd,6 cylinders,custom,20000
chevrolet,truck,full-size,2010,good,gas,246291,automatic,4wd,8 cylinders,silver,20000
acura,SUV,mid-size,2015,excellent,gas,37305,automatic,4wd,6 cylinders,black,20135
lexus,SUV,full-size,2015,excellent,gas,93334,automatic,4wd,4 cylinders,grey,20299
ford,hatchback,compact,2018,like new,gas,4695,manual,fwd,4 cylinders,grey,20350
kia,SUV,sub-compact,2020,like new,gas,1450,automatic,fwd,4 cylinders,red,20399
hyundai,SUV,compact,2020,excellent,gas,2479,automatic,fwd,4 cylinders,white,20445
ford,truck,full-size,2006,excellent,diesel,105015,automatic,4wd,8 cylinders,silver,20487
mitsubishi,SUV,mid-size,2020,like new,gas,5500,automatic,4wd,4 cylinders,black,20500
bmw,sedan,mid-size,2015,like new,gas,39640,automatic,4wd,4 cylinders,white,20500
ford,coupe,mid-size,2004,excellent,gas,45678,manual,rwd,8 cylinders,silver,20500
chrysler,sedan,full-size,2016,excellent,gas,47000,automatic,4wd,6 cylinders,black,20500
ford,SUV,full-size,2016,excellent,gas,66000,automatic,4wd,6 cylinders,white,20500
chevrolet,convertible,full-size,2003,excellent,gas,68393,manual,rwd,8 cylinders,white,20500
chevrolet,convertible,full-size,2003,excellent,gas,68393,manual,rwd,8 cylinders,white,20500
gmc,pickup,full-size,2010,excellent,gas,92000,automatic,4wd,8 cylinders,black,20500
ford,van,full-size,2016,excellent,gas,95961,automatic,rwd,6 cylinders,white,20500
pontiac,other,mid-size,2005,excellent,gas,25400,automatic,rwd,8 cylinders,red,20750
jeep,SUV,mid-size,2016,excellent,gas,29000,automatic,4wd,6 cylinders,grey,20750
subaru,sedan,mid-size,2017,excellent,gas,26700,automatic,4wd,4 cylinders,grey,20900
ram,pickup,full-size,2016,excellent,gas,41830,automatic,rwd,8 cylinders,white,20950
dodge,mini-van,mid-size,2019,like new,gas,43000,automatic,fwd,6 cylinders,red,20950
chevrolet,pickup,full-size,2012,good,gas,110924,automatic,4wd,8 cylinders,white,20950
nissan,sedan,full-size,2017,excellent,gas,36176,automatic,fwd,6 cylinders,white,20990
nissan,pickup,full-size,2017,excellent,gas,59939,automatic,rwd,8 cylinders,white,20990
toyota,SUV,mid-size,2014,good,gas,69008,automatic,4wd,4 cylinders,red,20990
ford,truck,full-size,2008,excellent,diesel,75523,automatic,4wd,8 cylinders,yellow,20990
ford,truck,full-size,2008,excellent,diesel,75523,automatic,4wd,8 cylinders,yellow,20990
ford,truck,full-size,2008,excellent,diesel,124000,automatic,4wd,8 cylinders,grey,20994
nissan,sedan,mid-size,2020,like new,gas,7535,automatic,fwd,4 cylinders,grey,20995
cadillac,SUV,full-size,2013,excellent,gas,146000,automatic,4wd,8 cylinders,white,20995
ford,pickup,full-size,2013,excellent,diesel,148328,automatic,4wd,8 cylinders,silver,20995
ford,truck,full-size,2011,like new,gas,187922,automatic,4wd,8 cylinders,blue,20995
honda,SUV,mid-size,2017,like new,gas,69179,automatic,4wd,4 cylinders,grey,20997
cadillac,SUV,mid-size,2015,excellent,gas,70849,automatic,4wd,6 cylinders,white,20997
ram,truck,full-size,2012,excellent,gas,89469,automatic,4wd,8 cylinders,red,20999
subaru,sedan,full-size,2019,like new,gas,23000,automatic,4wd,4 cylinders,white,21000
dodge,mini-van,full-size,2014,good,gas,24500,automatic,rwd,4 cylinders,red,21000
chrysler,mini-van,mid-size,2017,excellent,gas,65000,automatic,fwd,6 cylinders,grey,21000
chevrolet,SUV,mid-size,2018,excellent,gas,86815,automatic,4wd,4 cylinders,grey,21000
honda,SUV,full-size,2015,excellent,gas,96000,automatic,4wd,6 cylinders,red,21000
chevrolet,pickup,full-size,2011,excellent,gas,108000,manual,4wd,8 cylinders,black,21000
ford,pickup,full-size,2012,excellent,gas,129686,automatic,4wd,6 cylinders,white,21495
honda,coupe,compact,2018,excellent,gas,26900,manual,fwd,4 cylinders,red,21499
pontiac,coupe,mid-size,2006,excellent,gas,27900,manual,rwd,8 cylinders,red,21500
volkswagen,sedan,mid-size,2017,new,gas,37000,manual,fwd,4 cylinders,white,21500
ford,truck,full-size,2003,excellent,diesel,39000,automatic,rwd,8 cylinders,white,21500
chevrolet,convertible,full-size,2018,excellent,gas,52478,automatic,rwd,4 cylinders,white,21500
honda,SUV,mid-size,2017,like new,gas,56101,automatic,fwd,4 cylinders,grey,21500
chevrolet,convertible,mid-size,2007,good,gas,83420,automatic,rwd,8 cylinders,black,21500
gmc,truck,full-size,2018,excellent,gas,14551,automatic,rwd,8 cylinders,white,21595
dodge,truck,full-size,2008,excellent,diesel,128000,automatic,4wd,6 cylinders,white,21750
acura,sedan,compact,2019,excellent,gas,24100,automatic,fwd,4 cylinders,red,21850
mercedes-benz,SUV,full-size,2013,excellent,gas,77735,automatic,4wd,8 cylinders,white,21850
buick,SUV,full-size,2017,like new,gas,62000,automatic,fwd,6 cylinders,red,21900
lexus,sedan,full-size,2015,like new,gas,63129,automatic,fwd,6 cylinders,silver,21900
chevrolet,SUV,full-size,2012,excellent,gas,82050,automatic,4wd,8 cylinders,red,21900
chevrolet,pickup,full-size,2014,excellent,gas,120000,automatic,4wd,8 cylinders,white,21900
jeep,SUV,compact,2019,like new,gas,8375,automatic,fwd,4 cylinders,black,21985
ford,truck,full-size,2008,good,gas,68845,automatic,rwd,8 cylinders,white,21990
ford,pickup,full-size,2014,excellent,gas,117654,automatic,4wd,6 cylinders,red,21990
nissan,SUV,full-size,2019,good,gas,22511,automatic,4wd,4 cylinders,white,21995
toyota,SUV,mid-size,2014,like new,gas,24300,automatic,4wd,4 cylinders,grey,21995
ford,SUV,mid-size,2019,excellent,gas,24989,automatic,4wd,4 cylinders,blue,21995
bmw,sedan,full-size,2015,excellent,gas,93078,automatic,4wd,6 cylinders,black,21995
nissan,SUV,full-size,2016,good,gas,99175,automatic,4wd,6 cylinders,black,21995
ram,truck,full-size,2014,good,diesel,113807,automatic,rwd,6 cylinders,blue,21995
ford,truck,full-size,2012,good,gas,131602,automatic,4wd,8 cylinders,white,21995
ford,pickup,full-size,2005,excellent,diesel,163000,automatic,4wd,8 cylinders,white,21995
ram,pickup,full-size,2014,excellent,gas,64296,automatic,4wd,8 cylinders,black,21997
chevrolet,truck,full-size,2013,like new,gas,57900,automatic,4wd,8 cylinders,white,21999
chevrolet,truck,full-size,2013,excellent,gas,62014,automatic,rwd,8 cylinders,silver,21999
chevrolet,van,mid-size,2013,good,gas,74273,automatic,4wd,8 cylinders,silver,21999
toyota,pickup,mid-size,2015,excellent,gas,54000,automatic,4wd,6 cylinders,red,22000
chevrolet,truck,full-size,2007,good,diesel,170000,automatic,4wd,8 cylinders,red,22000
ram,truck,full-size,2006,excellent,diesel,190000,automatic,4wd,6 cylinders,white,22000
ford,truck,full-size,2013,like new,gas,103541,automatic,4wd,6 cylinders,white,22250
ford,truck,full-size,2008,good,gas,55566,automatic,rwd,8 cylinders,white,22490
dodge,SUV,mid-size,2014,like new,gas,78000,automatic,4wd,8 cylinders,grey,22499
hyundai,sedan,full-size,2018,like new,gas,18179,automatic,fwd,4 cylinders,white,22500
mercedes-benz,van,full-size,2016,good,gas,36828,automatic,rwd,4 cylinders,silver,22500
mercedes-benz,van,full-size,2016,good,gas,36828,automatic,rwd,4 cylinders,silver,22500
mercedes-benz,van,full-size,2016,good,gas,36828,automatic,rwd,4 cylinders,silver,22500
dodge,coupe,mid-size,2011,good,gas,88000,automatic,rwd,8 cylinders,blue,22500
toyota,truck,mid-size,2011,excellent,gas,88000,automatic,4wd,6 cylinders,black,22500
jeep,offroad,compact,2013,excellent,gas,89500,automatic,4wd,6 cylinders,silver,22500
chevrolet,truck,full-size,2014,excellent,gas,99100,automatic,4wd,8 cylinders,black,22500
chevrolet,truck,full-size,2007,good,diesel,164773,automatic,rwd,8 cylinders,white,22500
honda,SUV,mid-size,2017,like new,gas,57499,automatic,4wd,4 cylinders,orange,22700
subaru,wagon,full-size,2017,excellent,gas,51086,automatic,4wd,4 cylinders,silver,22769
subaru,SUV,full-size,2017,excellent,gas,18918,automatic,4wd,4 cylinders,red,22900
jeep,SUV,full-size,2018,good,gas,39000,automatic,4wd,6 cylinders,white,22900
ford,SUV,full-size,2016,excellent,gas,49000,automatic,4wd,4 cylinders,black,22900
infiniti,SUV,mid-size,2015,like new,gas,58000,automatic,rwd,6 cylinders,silver,22900
chevrolet,truck,full-size,2013,good,diesel,210000,automatic,4wd,8 cylinders,white,22900
toyota,SUV,mid-size,2016,excellent,gas,112525,automatic,4wd,6 cylinders,blue,22912
chevrolet,pickup,full-size,2009,excellent,diesel,208546,automatic,4wd,8 cylinders,black,22950
mercedes-benz,SUV,compact,2016,like new,gas,27643,automatic,fwd,6 cylinders,blue,22988
ford,truck,full-size,2008,good,gas,48474,automatic,rwd,8 cylinders,white,22990
ford,truck,full-size,2008,good,gas,48474,automatic,rwd,8 cylinders,white,22990
ford,truck,full-size,2008,good,gas,48474,automatic,rwd,8 cylinders,white,22990
ford,truck,full-size,2008,good,gas,48474,automatic,rwd,8 cylinders,white,22990
cadillac,SUV,full-size,2011,excellent,gas,81522,automatic,4wd,8 cylinders,grey,22990
ram,truck,full-size,2017,excellent,gas,116971,automatic,4wd,8 cylinders,white,22990
jeep,SUV,full-size,2011,good,gas,135362,automatic,4wd,6 cylinders,brown,22990
chevrolet,van,full-size,2014,good,gas,90822,automatic,4wd,8 cylinders,green,22994
honda,SUV,mid-size,2019,like new,gas,4073,automatic,4wd,4 cylinders,silver,22995
subaru,SUV,compact,2017,like new,gas,46736,automatic,4wd,4 cylinders,silver,22995
gmc,truck,mid-size,2016,good,gas,48452,automatic,fwd,4 cylinders,silver,22995
mercedes-benz,van,full-size,2012,excellent,diesel,48508,automatic,rwd,6 cylinders,white,22995
chevrolet,pickup,full-size,2013,excellent,gas,113000,automatic,4wd,8 cylinders,white,22995
gmc,van,full-size,2010,good,gas,122686,automatic,rwd,8 cylinders,white,22995
ford,truck,full-size,2011,excellent,diesel,222080,automatic,4wd,8 cylinders,white,22995
cadillac,SUV,mid-size,2013,excellent,gas,33395,automatic,fwd,6 cylinders,brown,22999
hyundai,sedan,mid-size,2018,like new,hybrid,23366,automatic,fwd,4 cylinders,grey,23000
kia,SUV,full-size,2017,excellent,gas,44801,automatic,4wd,4 cylinders,white,23000
ram,pickup,full-size,2011,like new,gas,90000,automatic,4wd,8 cylinders,blue,23000
chevrolet,truck,full-size,2017,excellent,gas,100000,automatic,rwd,8 cylinders,grey,23000
chevrolet,pickup,full-size,2012,excellent,gas,63481,automatic,4wd,8 cylinders,blue,23097
chevrolet,coupe,mid-size,2017,excellent,gas,41000,automatic,rwd,4 cylinders,blue,23350
chevrolet,van,full-size,2011,good,gas,53646,automatic,4wd,8 cylinders,blue,23488
chevrolet,truck,full-size,2015,excellent,gas,111615,automatic,4wd,8 cylinders,black,23495
chevrolet,SUV,full-size,2017,excellent,gas,47500,automatic,fwd,6 cylinders,black,23500
ford,pickup,full-size,2015,like new,gas,75000,automatic,4wd,8 cylinders,silver,23500
ford,truck,full-size,2013,excellent,diesel,306110,automatic,4wd,8 cylinders,black,23600
ford,wagon,full-size,2019,good,gas,42761,automatic,fwd,6 cylinders,silver,23750
jeep,SUV,full-size,2015,excellent,gas,62505,automatic,4wd,6 cylinders,black,23800
rover,SUV,full-size,2014,like new,gas,92000,automatic,4wd,4 cylinders,black,23800
ford,van,full-size,2017,excellent,gas,53078,automatic,rwd,6 cylinders,white,23877
subaru,wagon,compact,2018,excellent,gas,22278,automatic,4wd,4 cylinders,silver,23900
chevrolet,van,full-size,2019,excellent,gas,24008,automatic,rwd,8 cylinders,white,23900
chevrolet,van,full-size,2019,excellent,gas,24008,automatic,rwd,8 cylinders,white,23900
rover,SUV,full-size,2016,good,gas,55237,automatic,4wd,4 cylinders,red,23900
rover,SUV,full-size,2016,good,gas,55237,automatic,4wd,4 cylinders,red,23900
jeep,SUV,full-size,2015,excellent,gas,71849,automatic,4wd,6 cylinders,white,23900
ford,truck,full-size,2016,excellent,gas,129699,automatic,4wd,8 cylinders,white,23900
ford,truck,full-size,2016,excellent,gas,129699,automatic,4wd,8 cylinders,white,23900
jeep,SUV,mid-size,2014,excellent,gas,90000,manual,4wd,6 cylinders,blue,23950
ford,truck,full-size,2011,excellent,gas,145080,automatic,4wd,6 cylinders,white,23950
ford,pickup,full-size,2001,excellent,diesel,20421,automatic,rwd,8 cylinders,white,23960
gmc,SUV,full-size,2019,excellent,gas,42054,automatic,4wd,4 cylinders,red,23980
toyota,mini-van,full-size,2017,like new,gas,100460,automatic,4wd,6 cylinders,grey,23985
ford,pickup,full-size,2008,good,diesel,133183,automatic,4wd,8 cylinders,white,23990
gmc,van,full-size,2018,like new,gas,15785,automatic,rwd,8 cylinders,white,23995
nissan,sedan,full-size,2019,like new,gas,30317,automatic,fwd,6 cylinders,blue,23995
ford,truck,full-size,2016,like new,gas,60260,automatic,rwd,6 cylinders,red,23995
dodge,coupe,mid-size,2016,excellent,gas,64701,manual,rwd,8 cylinders,black,23995
ram,van,full-size,2018,excellent,gas,76550,automatic,fwd,6 cylinders,white,23995
chevrolet,pickup,full-size,2011,excellent,gas,86155,automatic,4wd,8 cylinders,grey,23995
toyota,pickup,full-size,2013,excellent,gas,92374,automatic,4wd,6 cylinders,grey,23995
ford,truck,full-size,2013,good,gas,117335,automatic,4wd,6 cylinders,white,23997
nissan,SUV,full-size,2019,like new,gas,5012,automatic,fwd,4 cylinders,white,24000
chevrolet,coupe,mid-size,2019,like new,gas,25231,automatic,rwd,6 cylinders,white,24018
chevrolet,truck,full-size,2013,excellent,gas,60413,automatic,4wd,8 cylinders,red,24495
dodge,sedan,full-size,2016,excellent,gas,45000,automatic,rwd,8 cylinders,blue,24500
chevrolet,coupe,mid-size,2008,excellent,gas,73849,manual,rwd,8 cylinders,black,24500
ram,pickup,full-size,2008,like new,diesel,121330,automatic,4wd,6 cylinders,black,24500
ford,SUV,full-size,2016,excellent,gas,35862,automatic,4wd,6 cylinders,black,24590
volkswagen,convertible,mid-size,2017,excellent,gas,35582,automatic,fwd,4 cylinders,silver,24700
gmc,truck,full-size,2013,excellent,gas,27000,automatic,4wd,8 cylinders,grey,24900
toyota,truck,full-size,2018,good,gas,32149,automatic,rwd,4 cylinders,black,24900
toyota,truck,full-size,2018,good,gas,32149,automatic,rwd,4 cylinders,black,24900
toyota,truck,full-size,2018,good,gas,32149,automatic,rwd,4 cylinders,black,24900
bmw,SUV,full-size,2015,excellent,gas,64200,automatic,4wd,6 cylinders,white,24900
ram,truck,full-size,2015,good,gas,85000,automatic,4wd,8 cylinders,white,24900
toyota,pickup,full-size,2013,excellent,gas,89667,automatic,4wd,8 cylinders,red,24900
ford,pickup,full-size,2012,excellent,gas,99095,automatic,rwd,8 cylinders,grey,24900
ford,truck,full-size,2016,good,gas,121056,automatic,rwd,8 cylinders,white,24900
ford,truck,full-size,2016,good,gas,121056,automatic,rwd,8 cylinders,white,24900
ford,truck,full-size,2017,like new,gas,110094,automatic,4wd,6 cylinders,grey,24980
ford,truck,full-size,2016,excellent,gas,142259,automatic,4wd,8 cylinders,white,24988
lexus,sedan,mid-size,2014,excellent,gas,49900,automatic,4wd,6 cylinders,black,24990
audi,SUV,mid-size,2013,like new,gas,57885,automatic,4wd,6 cylinders,grey,24990
ford,truck,full-size,2015,good,gas,191762,automatic,rwd,10 cylinders,white,24990
volkswagen,SUV,mid-size,2019,excellent,gas,7669,automatic,fwd,4 cylinders,white,24995
ford,van,full-size,2016,excellent,gas,13417,automatic,rwd,6 cylinders,white,24995
audi,sedan,mid-size,2012,excellent,gas,56619,automatic,4wd,6 cylinders,black,24995
dodge,coupe,full-size,2015,excellent,gas,84597,automatic,rwd,8 cylinders,black,24995
gmc,SUV,full-size,2012,good,gas,89532,automatic,4wd,8 cylinders,brown,24995
cadillac,SUV,full-size,2011,excellent,gas,97601,automatic,4wd,8 cylinders,silver,24995
chevrolet,truck,full-size,2008,excellent,gas,103555,automatic,4wd,8 cylinders,black,24995
jeep,SUV,full-size,2012,good,gas,115463,automatic,4wd,6 cylinders,red,24995
toyota,van,full-size,2016,excellent,gas,47825,automatic,fwd,6 cylinders,custom,24998
fiat,convertible,mid-size,2017,good,gas,3208,automatic,rwd,4 cylinders,grey,24999
dodge,mini-van,full-size,2014,excellent,gas,24000,automatic,fwd,6 cylinders,red,25000
chevrolet,truck,full-size,2010,excellent,gas,47242,automatic,4wd,8 cylinders,blue,25000
chevrolet,pickup,full-size,2016,excellent,gas,56000,automatic,rwd,6 cylinders,grey,25000
audi,sedan,full-size,2012,excellent,gas,108000,automatic,4wd,8 cylinders,blue,25000
fiat,convertible,compact,2017,excellent,gas,14098,automatic,rwd,4 cylinders,white,25144
ford,truck,full-size,2019,excellent,gas,26582,automatic,rwd,8 cylinders,white,25488
ford,truck,full-size,2014,good,gas,61934,automatic,4wd,8 cylinders,silver,25500
chevrolet,pickup,full-size,2015,good,gas,94716,automatic,4wd,8 cylinders,grey,25500
toyota,SUV,full-size,2016,good,gas,98500,automatic,4wd,6 cylinders,white,25500
lexus,sedan,mid-size,2016,excellent,gas,51538,automatic,fwd,6 cylinders,red,25597
chevrolet,convertible,mid-size,2004,like new,gas,38226,automatic,rwd,8 cylinders,red,25645
bmw,SUV,mid-size,2017,excellent,gas,47500,automatic,4wd,4 cylinders,silver,25750
bmw,coupe,mid-size,2007,excellent,gas,48000,automatic,rwd,10 cylinders,blue,25800
chevrolet,truck,full-size,2019,excellent,gas,11516,automatic,rwd,8 cylinders,white,25900
toyota,SUV,full-size,2014,like new,gas,125510,automatic,4wd,6 cylinders,silver,25900
ford,truck,full-size,2014,excellent,gas,125292,automatic,4wd,6 cylinders,white,25950
ford,truck,mid-size,2012,excellent,gas,73949,automatic,4wd,6 cylinders,black,25973
chevrolet,truck,full-size,2017,like new,gas,73533,automatic,4wd,6 cylinders,black,25988
jeep,SUV,full-size,2015,good,gas,46153,automatic,4wd,6 cylinders,black,25990
ford,van,full-size,2019,excellent,gas,14685,automatic,rwd,6 cylinders,white,25995
subaru,wagon,mid-size,2017,like new,gas,38605,automatic,4wd,4 cylinders,grey,25995
chevrolet,coupe,mid-size,2005,excellent,gas,39153,automatic,rwd,8 cylinders,silver,25995
ford,pickup,full-size,2008,excellent,diesel,87913,automatic,4wd,8 cylinders,green,25995
lincoln,SUV,full-size,2015,excellent,gas,91000,automatic,4wd,6 cylinders,black,25995
chevrolet,truck,full-size,2015,good,gas,99450,automatic,4wd,8 cylinders,black,25995
ford,truck,full-size,2016,excellent,gas,111700,automatic,4wd,8 cylinders,grey,25995
ram,truck,full-size,2009,like new,diesel,147606,automatic,4wd,6 cylinders,grey,25995
chevrolet,truck,full-size,2015,good,gas,174699,automatic,4wd,8 cylinders,white,25995
dodge,coupe,mid-size,2019,excellent,gas,17560,automatic,rwd,6 cylinders,black,25999
ford,truck,full-size,2011,good,diesel,133272,automatic,4wd,8 cylinders,white,25999
toyota,truck,mid-size,2017,like new,gas,10000,automatic,4wd,4 cylinders,black,26000
lexus,sedan,full-size,2015,like new,gas,26000,automatic,rwd,6 cylinders,grey,26000
chevrolet,truck,mid-size,2016,new,gas,29500,automatic,rwd,4 cylinders,custom,26000
jeep,SUV,full-size,2017,excellent,gas,60000,automatic,rwd,6 cylinders,white,26000
ford,SUV,mid-size,2017,excellent,gas,24928,automatic,4wd,4 cylinders,black,26093
chevrolet,truck,full-size,2019,like new,gas,13625,automatic,rwd,8 cylinders,white,26300
nissan,SUV,full-size,2017,like new,gas,53794,automatic,4wd,6 cylinders,blue,26354
gmc,pickup,full-size,2017,excellent,gas,122000,automatic,4wd,6 cylinders,silver,26400
ram,truck,full-size,2019,like new,gas,13299,automatic,rwd,8 cylinders,white,26500
ford,coupe,mid-size,2006,like new,gas,17000,manual,rwd,8 cylinders,yellow,26500
infiniti,sedan,mid-size,2015,like new,gas,22300,automatic,4wd,6 cylinders,black,26500
lincoln,SUV,full-size,2012,excellent,gas,47790,automatic,4wd,8 cylinders,purple,26500
lincoln,SUV,full-size,2012,excellent,gas,47790,automatic,4wd,8 cylinders,purple,26500
ford,truck,full-size,2011,excellent,diesel,206354,automatic,4wd,8 cylinders,white,26500
ford,SUV,full-size,2016,good,gas,85093,automatic,4wd,4 cylinders,grey,26800
chevrolet,van,full-size,2015,good,gas,25692,automatic,rwd,8 cylinders,white,26840
chevrolet,van,full-size,2013,good,gas,40234,automatic,4wd,8 cylinders,green,26888
ford,van,full-size,2019,excellent,gas,9288,automatic,rwd,6 cylinders,white,26900
ford,truck,full-size,2011,excellent,diesel,187000,automatic,4wd,8 cylinders,white,26900
subaru,wagon,mid-size,2017,excellent,gas,30872,automatic,4wd,6 cylinders,blue,26930
ford,van,full-size,2019,excellent,gas,26255,automatic,rwd,6 cylinders,white,26950
chevrolet,SUV,mid-size,2017,excellent,gas,42697,automatic,fwd,6 cylinders,red,26950
