manufacturer,type,size,year,condition,fuel,odometer,transmission,drive,cylinders,paint_color,price_class
buick,sedan,full-size,2011,excellent,gas,106919,automatic,fwd,6 cylinders,silver,8000~16000
chevrolet,sedan,full-size,2015,like new,gas,68558,automatic,fwd,4 cylinders,red,8000~16000
chevrolet,van,full-size,2006,good,gas,53000,automatic,rwd,6 cylinders,green,8000~16000
ford,sedan,full-size,2016,excellent,gas,97900,automatic,fwd,4 cylinders,black,8000~16000
mercedes-benz,sedan,full-size,2012,excellent,gas,123500,automatic,4wd,4 cylinders,black,8000~16000
gmc,SUV,mid-size,2011,excellent,gas,148035,automatic,4wd,6 cylinders,silver,8000~16000
chevrolet,SUV,full-size,2007,excellent,gas,166123,automatic,4wd,8 cylinders,red,8000~16000
volkswagen,sedan,mid-size,2013,like new,gas,61000,automatic,fwd,4 cylinders,white,8000~16000
ford,pickup,full-size,2009,excellent,gas,86000,automatic,rwd,8 cylinders,white,8000~16000
ram,pickup,full-size,2006,good,gas,98894,automatic,rwd,8 cylinders,silver,8000~16000
nissan,sedan,full-size,2012,excellent,gas,111800,manual,fwd,6 cylinders,black,8000~16000
dodge,SUV,mid-size,2014,good,gas,118000,automatic,4wd,6 cylinders,silver,8000~16000
jeep,SUV,full-size,2010,good,gas,131312,automatic,4wd,6 cylinders,silver,8000~16000
ram,truck,full-size,2001,excellent,gas,134100,automatic,4wd,8 cylinders,blue,8000~16000
hyundai,SUV,mid-size,2013,excellent,gas,169046,automatic,fwd,6 cylinders,silver,8000~16000
nissan,sedan,mid-size,2015,good,gas,78000,automatic,fwd,4 cylinders,black,8000~16000
toyota,sedan,full-size,2011,excellent,gas,80000,automatic,fwd,4 cylinders,white,8000~16000
toyota,SUV,mid-size,2010,excellent,gas,102000,automatic,4wd,4 cylinders,black,8000~16000
ford,SUV,full-size,2016,good,gas,165357,automatic,4wd,4 cylinders,orange,8000~16000
gmc,pickup,mid-size,2004,good,gas,105375,automatic,4wd,8 cylinders,white,8000~16000
chevrolet,sedan,compact,2014,good,gas,52367,automatic,fwd,6 cylinders,red,8000~16000
hyundai,sedan,compact,2014,excellent,gas,80000,automatic,fwd,6 cylinders,grey,8000~16000
acura,SUV,mid-size,2007,excellent,gas,132452,automatic,4wd,6 cylinders,black,8000~16000
ford,SUV,compact,2014,good,gas,93611,automatic,fwd,4 cylinders,grey,8000~16000
hyundai,hatchback,compact,2010,excellent,gas,4265,automatic,fwd,4 cylinders,grey,8000~16000
ford,SUV,mid-size,2012,excellent,gas,84000,automatic,fwd,6 cylinders,red,8000~16000
chevrolet,wagon,mid-size,2011,excellent,gas,110340,automatic,fwd,6 cylinders,white,8000~16000
toyota,SUV,mid-size,2008,good,gas,175467,automatic,rwd,6 cylinders,white,8000~16000
chevrolet,SUV,full-size,2011,good,gas,257720,automatic,4wd,8 cylinders,black,8000~16000
chrysler,mini-van,mid-size,2015,like new,gas,137350,automatic,fwd,6 cylinders,black,8000~16000
lexus,sedan,mid-size,2006,excellent,gas,145408,automatic,4wd,6 cylinders,red,8000~16000
toyota,truck,full-size,2005,good,gas,195000,automatic,4wd,8 cylinders,white,8000~16000
honda,mini-van,full-size,2011,excellent,gas,207811,automatic,fwd,6 cylinders,blue,8000~16000
hyundai,SUV,full-size,2011,good,gas,122868,automatic,rwd,4 cylinders,white,8000~16000
toyota,truck,full-size,2006,good,gas,155708,automatic,4wd,6 cylinders,white,8000~16000
mercedes-benz,convertible,mid-size,2007,good,gas,93905,automatic,rwd,6 cylinders,red,8000~16000
volkswagen,sedan,mid-size,2016,like new,gas,65000,automatic,fwd,4 cylinders,grey,8000~16000
jeep,SUV,full-size,2009,excellent,gas,66000,automatic,4wd,6 cylinders,blue,8000~16000
nissan,sedan,full-size,2014,good,gas,69000,automatic,fwd,4 cylinders,black,8000~16000
subaru,sedan,full-size,2012,excellent,gas,87000,automatic,4wd,4 cylinders,grey,8000~16000
mercedes-benz,sedan,mid-size,2010,like new,gas,98000,automatic,4wd,6 cylinders,grey,8000~16000
toyota,sedan,full-size,2012,excellent,hybrid,106000,automatic,4wd,4 cylinders,silver,8000~16000
honda,SUV,mid-size,2011,excellent,gas,118800,automatic,4wd,4 cylinders,black,8000~16000
bmw,sedan,mid-size,2011,like new,gas,125761,automatic,rwd,6 cylinders,grey,8000~16000
honda,SUV,full-size,2010,good,gas,134139,automatic,4wd,4 cylinders,black,8000~16000
chevrolet,pickup,full-size,2009,good,gas,188746,automatic,4wd,8 cylinders,blue,8000~16000
ford,truck,full-size,2012,excellent,gas,198069,automatic,rwd,8 cylinders,white,8000~16000
ford,truck,full-size,2002,good,gas,90493,automatic,rwd,8 cylinders,white,8000~16000
nissan,SUV,mid-size,2013,excellent,gas,90115,automatic,4wd,4 cylinders,grey,8000~16000
chevrolet,truck,full-size,2009,excellent,gas,124265,automatic,rwd,5 cylinders,white,8000~16000
ram,truck,full-size,2000,new,diesel,179000,automatic,rwd,6 cylinders,red,8000~16000
toyota,mini-van,mid-size,2011,excellent,gas,156000,automatic,fwd,6 cylinders,silver,8000~16000
chevrolet,truck,full-size,2008,good,gas,204402,automatic,4wd,8 cylinders,black,8000~16000
ford,sedan,full-size,2014,good,gas,36374,automatic,fwd,4 cylinders,red,8000~16000
dodge,sedan,full-size,2014,excellent,gas,111972,automatic,rwd,6 cylinders,white,8000~16000
gmc,SUV,full-size,2012,good,gas,94802,automatic,fwd,6 cylinders,black,8000~16000
chevrolet,van,mid-size,2005,good,gas,51365,automatic,rwd,6 cylinders,white,8000~16000
chevrolet,van,mid-size,2005,good,gas,51365,automatic,rwd,6 cylinders,white,8000~16000
chevrolet,sedan,compact,2017,excellent,gas,91081,manual,fwd,4 cylinders,white,8000~16000
ford,sedan,mid-size,2013,excellent,gas,65166,automatic,fwd,4 cylinders,grey,8000~16000
nissan,SUV,full-size,2013,excellent,gas,80681,automatic,4wd,4 cylinders,blue,8000~16000
chevrolet,SUV,full-size,2012,like new,gas,88530,automatic,fwd,4 cylinders,grey,8000~16000
toyota,SUV,full-size,2009,excellent,gas,93765,automatic,4wd,4 cylinders,custom,8000~16000
nissan,SUV,full-size,2009,good,gas,107693,automatic,rwd,4 cylinders,white,8000~16000
gmc,SUV,full-size,2010,good,gas,114740,automatic,4wd,6 cylinders,black,8000~16000
ford,SUV,full-size,2013,good,gas,115067,automatic,fwd,4 cylinders,grey,8000~16000
acura,SUV,full-size,2009,good,gas,115426,automatic,4wd,6 cylinders,white,8000~16000
dodge,SUV,mid-size,2014,excellent,gas,119503,automatic,fwd,4 cylinders,blue,8000~16000
chevrolet,SUV,full-size,2010,good,gas,125141,automatic,4wd,6 cylinders,grey,8000~16000
volkswagen,sedan,mid-size,2016,excellent,gas,137715,automatic,fwd,4 cylinders,white,8000~16000
ford,truck,full-size,2011,good,gas,164231,automatic,rwd,8 cylinders,white,8000~16000
chevrolet,SUV,full-size,2007,good,gas,183521,automatic,4wd,8 cylinders,black,8000~16000
chevrolet,van,full-size,2016,good,gas,126550,automatic,fwd,4 cylinders,white,8000~16000
ford,sedan,compact,2014,excellent,gas,52211,automatic,fwd,4 cylinders,red,8000~16000
hyundai,sedan,mid-size,2016,excellent,gas,54198,automatic,fwd,4 cylinders,silver,8000~16000
ford,sedan,mid-size,2011,good,gas,64228,automatic,fwd,4 cylinders,white,8000~16000
gmc,SUV,compact,2011,excellent,gas,82126,automatic,4wd,4 cylinders,black,8000~16000
subaru,SUV,mid-size,2013,excellent,gas,99020,automatic,4wd,4 cylinders,black,8000~16000
gmc,truck,mid-size,2010,excellent,gas,110258,automatic,rwd,5 cylinders,black,8000~16000
lincoln,sedan,full-size,2011,excellent,gas,120000,automatic,4wd,6 cylinders,black,8000~16000
lexus,sedan,full-size,2007,excellent,gas,121877,automatic,rwd,8 cylinders,black,8000~16000
ford,truck,full-size,2014,like new,gas,140889,automatic,rwd,6 cylinders,white,8000~16000
ram,truck,full-size,2011,good,gas,174000,automatic,4wd,8 cylinders,silver,8000~16000
toyota,SUV,mid-size,2006,like new,gas,180000,automatic,fwd,4 cylinders,black,8000~16000
hyundai,sedan,full-size,2016,good,gas,23000,automatic,4wd,4 cylinders,black,8000~16000
chevrolet,SUV,full-size,2006,excellent,gas,78000,automatic,4wd,8 cylinders,white,8000~16000
jeep,SUV,full-size,2016,excellent,gas,81000,automatic,fwd,4 cylinders,blue,8000~16000
mazda,mini-van,mid-size,2008,excellent,gas,83492,manual,fwd,5 cylinders,red,8000~16000
bmw,coupe,compact,2010,good,gas,90000,manual,rwd,6 cylinders,black,8000~16000
mercury,sedan,full-size,2005,excellent,gas,93360,automatic,rwd,8 cylinders,grey,8000~16000
volkswagen,hatchback,compact,2015,excellent,gas,103243,automatic,fwd,4 cylinders,silver,8000~16000
toyota,SUV,mid-size,2007,excellent,gas,137000,automatic,rwd,6 cylinders,custom,8000~16000
ram,truck,full-size,2007,fair,diesel,161325,manual,4wd,6 cylinders,silver,8000~16000
ford,truck,full-size,2006,good,gas,200000,automatic,4wd,8 cylinders,silver,8000~16000
chrysler,sedan,mid-size,2015,excellent,gas,65000,automatic,fwd,4 cylinders,white,8000~16000
chevrolet,SUV,full-size,2012,excellent,gas,196000,automatic,4wd,8 cylinders,white,8000~16000
toyota,hatchback,compact,2013,good,hybrid,64066,manual,fwd,4 cylinders,silver,8000~16000
chevrolet,SUV,mid-size,2013,good,gas,245000,automatic,4wd,8 cylinders,black,8000~16000
toyota,truck,mid-size,2006,good,gas,103000,automatic,4wd,6 cylinders,silver,8000~16000
subaru,wagon,mid-size,2011,good,gas,103948,automatic,4wd,4 cylinders,grey,8000~16000
lincoln,SUV,full-size,2008,good,gas,141882,automatic,4wd,6 cylinders,brown,8000~16000
subaru,SUV,mid-size,2015,good,gas,147000,manual,4wd,4 cylinders,blue,8000~16000
ford,sedan,full-size,2016,like new,gas,73210,automatic,fwd,4 cylinders,grey,8000~16000
chevrolet,coupe,compact,2017,like new,gas,10500,automatic,fwd,4 cylinders,purple,8000~16000
ford,coupe,sub-compact,2012,excellent,gas,95375,manual,rwd,6 cylinders,black,8000~16000
ford,SUV,full-size,2012,excellent,gas,106000,automatic,fwd,6 cylinders,black,8000~16000
buick,SUV,mid-size,2012,excellent,gas,121124,automatic,4wd,6 cylinders,brown,8000~16000
lexus,sedan,full-size,2007,excellent,gas,151000,automatic,rwd,8 cylinders,silver,8000~16000
bmw,sedan,mid-size,2011,excellent,gas,151653,automatic,4wd,6 cylinders,white,8000~16000
ford,SUV,full-size,2013,excellent,gas,154100,automatic,4wd,6 cylinders,custom,8000~16000
jeep,SUV,full-size,2007,good,gas,160000,automatic,4wd,6 cylinders,red,8000~16000
ford,truck,full-size,2010,good,gas,171900,automatic,rwd,8 cylinders,red,8000~16000
ford,pickup,full-size,2000,good,diesel,263000,automatic,4wd,8 cylinders,white,8000~16000
toyota,pickup,mid-size,2009,fair,gas,360000,automatic,rwd,6 cylinders,silver,8000~16000
ford,SUV,mid-size,2015,excellent,gas,102421,automatic,fwd,4 cylinders,black,8000~16000
hyundai,sedan,mid-size,2017,good,gas,96905,automatic,fwd,4 cylinders,silver,8000~16000
buick,sedan,mid-size,2013,excellent,gas,117653,automatic,fwd,6 cylinders,white,8000~16000
ford,van,full-size,2014,good,gas,184521,automatic,rwd,8 cylinders,white,8000~16000
chevrolet,truck,full-size,2009,good,gas,176000,automatic,4wd,8 cylinders,white,8000~16000
chevrolet,pickup,full-size,2006,excellent,gas,83836,automatic,4wd,5 cylinders,red,8000~16000
chrysler,van,full-size,2014,excellent,gas,97000,automatic,fwd,6 cylinders,white,8000~16000
dodge,SUV,full-size,2015,good,gas,100315,automatic,4wd,6 cylinders,silver,8000~16000
nissan,SUV,mid-size,2010,good,gas,120000,automatic,4wd,6 cylinders,grey,8000~16000
ram,truck,mid-size,2011,excellent,gas,123000,automatic,rwd,6 cylinders,white,8000~16000
gmc,van,full-size,2010,good,gas,147000,automatic,rwd,8 cylinders,white,8000~16000
chevrolet,truck,full-size,2008,like new,gas,180000,automatic,4wd,8 cylinders,silver,8000~16000
ford,truck,full-size,2010,excellent,gas,180000,automatic,4wd,8 cylinders,white,8000~16000
gmc,SUV,full-size,2010,good,gas,223500,automatic,4wd,8 cylinders,black,8000~16000
ford,truck,full-size,2014,excellent,gas,231000,automatic,rwd,6 cylinders,white,8000~16000
nissan,sedan,compact,2018,excellent,gas,38737,automatic,fwd,4 cylinders,custom,8000~16000
nissan,sedan,full-size,2016,excellent,gas,54599,automatic,fwd,4 cylinders,grey,8000~16000
lexus,sedan,full-size,2005,like new,gas,87532,automatic,rwd,8 cylinders,white,8000~16000
buick,sedan,mid-size,2012,excellent,gas,98752,automatic,4wd,6 cylinders,black,8000~16000
ford,SUV,full-size,2011,good,gas,132590,automatic,fwd,6 cylinders,white,8000~16000
ford,SUV,full-size,2011,good,gas,132590,automatic,fwd,6 cylinders,white,8000~16000
jeep,SUV,compact,2016,excellent,gas,59000,automatic,fwd,4 cylinders,grey,8000~16000
kia,sedan,full-size,2013,like new,gas,73000,automatic,fwd,4 cylinders,white,8000~16000
chevrolet,sedan,mid-size,2014,excellent,diesel,86900,automatic,fwd,4 cylinders,silver,8000~16000
bmw,sedan,mid-size,2010,excellent,gas,106385,automatic,4wd,6 cylinders,red,8000~16000
ford,truck,full-size,2011,good,gas,194698,automatic,rwd,8 cylinders,white,8000~16000
ford,pickup,full-size,2011,excellent,gas,232988,automatic,4wd,8 cylinders,white,8000~16000
buick,SUV,full-size,2014,good,gas,60394,automatic,fwd,4 cylinders,custom,8000~16000
mitsubishi,sedan,compact,2015,excellent,gas,45425,automatic,fwd,4 cylinders,silver,8000~16000
volkswagen,sedan,full-size,2014,like new,gas,60850,automatic,fwd,4 cylinders,black,8000~16000
ford,sedan,mid-size,2011,like new,gas,76000,automatic,fwd,6 cylinders,white,8000~16000
gmc,SUV,compact,2010,excellent,gas,78016,automatic,4wd,6 cylinders,black,8000~16000
bmw,sedan,mid-size,2008,excellent,gas,78164,automatic,rwd,6 cylinders,blue,8000~16000
hyundai,sedan,full-size,2015,excellent,gas,81000,automatic,fwd,4 cylinders,red,8000~16000
gmc,SUV,mid-size,2013,excellent,gas,83566,automatic,fwd,4 cylinders,black,8000~16000
chevrolet,sedan,compact,2016,excellent,gas,86330,automatic,fwd,4 cylinders,black,8000~16000
mini,sedan,sub-compact,2013,excellent,gas,87367,automatic,fwd,4 cylinders,grey,8000~16000
mini,sedan,sub-compact,2013,excellent,gas,87367,automatic,fwd,4 cylinders,grey,8000~16000
acura,sedan,mid-size,2012,excellent,gas,108000,automatic,fwd,6 cylinders,grey,8000~16000
bmw,SUV,full-size,2011,good,gas,108600,automatic,4wd,6 cylinders,black,8000~16000
ram,truck,full-size,2006,good,gas,110570,automatic,4wd,8 cylinders,black,8000~16000
toyota,SUV,mid-size,2010,excellent,gas,114969,automatic,4wd,4 cylinders,silver,8000~16000
chevrolet,pickup,full-size,2009,excellent,gas,121000,automatic,4wd,8 cylinders,silver,8000~16000
ford,SUV,full-size,2011,good,gas,123316,automatic,4wd,6 cylinders,black,8000~16000
ford,truck,full-size,2006,excellent,gas,135143,automatic,4wd,8 cylinders,black,8000~16000
ram,pickup,full-size,2011,excellent,gas,152000,automatic,rwd,8 cylinders,white,8000~16000
lexus,SUV,full-size,2006,good,gas,154541,automatic,4wd,6 cylinders,white,8000~16000
chevrolet,SUV,full-size,2007,good,gas,162339,automatic,rwd,8 cylinders,white,8000~16000
ford,SUV,full-size,2014,good,gas,170259,automatic,4wd,6 cylinders,white,8000~16000
jeep,SUV,mid-size,2015,good,gas,105523,automatic,4wd,4 cylinders,grey,8000~16000
dodge,sedan,full-size,2015,good,gas,77024,automatic,fwd,4 cylinders,black,8000~16000
toyota,hatchback,full-size,2012,excellent,hybrid,82284,automatic,fwd,4 cylinders,custom,8000~16000
volkswagen,sedan,compact,2015,excellent,gas,98000,automatic,fwd,4 cylinders,silver,8000~16000
hyundai,sedan,mid-size,2015,excellent,gas,115399,automatic,fwd,4 cylinders,blue,8000~16000
bmw,sedan,mid-size,2009,like new,gas,125500,manual,4wd,6 cylinders,blue,8000~16000
chevrolet,truck,full-size,2009,excellent,diesel,174148,automatic,fwd,8 cylinders,red,8000~16000
nissan,hatchback,sub-compact,2007,excellent,gas,72000,automatic,rwd,6 cylinders,blue,8000~16000
ford,truck,full-size,2002,fair,diesel,72859,manual,rwd,8 cylinders,red,8000~16000
ford,SUV,mid-size,2014,good,gas,73010,automatic,4wd,4 cylinders,orange,8000~16000
buick,sedan,mid-size,2012,good,hybrid,88217,automatic,fwd,4 cylinders,brown,8000~16000
toyota,sedan,mid-size,2014,excellent,gas,123400,automatic,fwd,6 cylinders,red,8000~16000
nissan,truck,full-size,2008,fair,gas,133000,automatic,4wd,8 cylinders,blue,8000~16000
ford,pickup,full-size,2006,excellent,diesel,165000,automatic,4wd,8 cylinders,white,8000~16000
ford,SUV,full-size,2003,good,diesel,165000,automatic,4wd,8 cylinders,black,8000~16000
ford,truck,full-size,2006,excellent,diesel,299000,automatic,4wd,8 cylinders,white,8000~16000
mini,sedan,sub-compact,2013,excellent,gas,66936,automatic,fwd,4 cylinders,white,8000~16000
honda,sedan,mid-size,2014,good,gas,83975,manual,fwd,4 cylinders,grey,8000~16000
ford,sedan,full-size,2014,like new,gas,96240,automatic,4wd,6 cylinders,white,8000~16000
honda,SUV,full-size,2013,good,gas,100124,automatic,4wd,4 cylinders,grey,8000~16000
toyota,hatchback,full-size,2015,like new,gas,138014,automatic,fwd,4 cylinders,black,8000~16000
fiat,hatchback,sub-compact,2015,excellent,gas,75303,automatic,fwd,4 cylinders,red,8000~16000
dodge,SUV,full-size,2017,excellent,gas,57327,automatic,fwd,4 cylinders,black,8000~16000
cadillac,sedan,full-size,2011,excellent,gas,95500,automatic,4wd,6 cylinders,white,8000~16000
acura,sedan,mid-size,2011,good,gas,105522,automatic,fwd,4 cylinders,white,8000~16000
ford,SUV,mid-size,2011,excellent,gas,105541,automatic,4wd,6 cylinders,red,8000~16000
nissan,hatchback,mid-size,2018,excellent,gas,23519,automatic,fwd,4 cylinders,blue,8000~16000
toyota,sedan,compact,2017,excellent,gas,40000,automatic,fwd,4 cylinders,red,8000~16000
toyota,sedan,mid-size,2014,excellent,gas,88851,automatic,fwd,4 cylinders,black,8000~16000
toyota,sedan,mid-size,2018,new,gas,9000,automatic,fwd,4 cylinders,black,8000~16000
hyundai,sedan,mid-size,2016,like new,gas,41000,automatic,fwd,4 cylinders,brown,8000~16000
subaru,SUV,compact,2009,excellent,gas,71000,automatic,4wd,4 cylinders,green,8000~16000
chrysler,mini-van,mid-size,2015,excellent,gas,80000,automatic,fwd,6 cylinders,custom,8000~16000
nissan,sedan,full-size,2017,excellent,gas,82087,automatic,4wd,4 cylinders,blue,8000~16000
volkswagen,SUV,full-size,2013,excellent,gas,85000,automatic,4wd,4 cylinders,black,8000~16000
lexus,sedan,full-size,2007,excellent,gas,98000,automatic,rwd,8 cylinders,black,8000~16000
subaru,hatchback,full-size,2014,excellent,gas,129357,automatic,4wd,4 cylinders,white,8000~16000
ford,SUV,full-size,2003,excellent,gas,132000,automatic,4wd,10 cylinders,green,8000~16000
mazda,sedan,full-size,2014,good,gas,132618,manual,fwd,4 cylinders,grey,8000~16000
toyota,SUV,mid-size,2007,excellent,gas,178157,automatic,4wd,6 cylinders,white,8000~16000
ford,truck,full-size,2007,good,diesel,230000,automatic,4wd,8 cylinders,brown,8000~16000
mercedes-benz,SUV,full-size,2009,like new,gas,105825,automatic,rwd,8 cylinders,black,8000~16000
ram,pickup,full-size,2001,good,diesel,100314,automatic,4wd,8 cylinders,purple,8000~16000
hyundai,sedan,mid-size,2011,excellent,gas,48714,automatic,fwd,4 cylinders,blue,8000~16000
ford,sedan,full-size,2015,like new,gas,67190,automatic,fwd,4 cylinders,black,8000~16000
bmw,coupe,full-size,2006,excellent,gas,96000,automatic,rwd,8 cylinders,silver,8000~16000
ford,sedan,full-size,2016,good,gas,92000,automatic,fwd,6 cylinders,grey,8000~16000
chevrolet,truck,full-size,2008,good,gas,210000,automatic,4wd,8 cylinders,black,8000~16000
chevrolet,SUV,full-size,2015,good,gas,116367,automatic,4wd,4 cylinders,white,8000~16000
chrysler,van,full-size,2014,good,gas,84370,automatic,fwd,6 cylinders,grey,8000~16000
volvo,sedan,mid-size,2014,excellent,gas,92344,automatic,fwd,5 cylinders,silver,8000~16000
subaru,wagon,mid-size,2014,excellent,gas,142000,automatic,4wd,4 cylinders,black,8000~16000
bmw,sedan,mid-size,2002,excellent,gas,149356,manual,rwd,8 cylinders,grey,8000~16000
gmc,van,full-size,2012,excellent,gas,157000,automatic,rwd,8 cylinders,white,8000~16000
gmc,SUV,full-size,2014,good,gas,159502,automatic,4wd,6 cylinders,white,8000~16000
ford,truck,full-size,2007,excellent,gas,166000,automatic,4wd,8 cylinders,red,8000~16000
toyota,pickup,full-size,2010,excellent,gas,169000,automatic,4wd,8 cylinders,silver,8000~16000
mercedes-benz,wagon,full-size,2010,excellent,gas,100000,automatic,4wd,6 cylinders,white,8000~16000
ford,SUV,mid-size,2011,excellent,gas,127000,automatic,4wd,6 cylinders,blue,8000~16000
kia,sedan,full-size,2016,excellent,gas,87319,automatic,fwd,4 cylinders,grey,8000~16000
mitsubishi,other,full-size,2004,good,diesel,193843,automatic,rwd,6 cylinders,white,8000~16000
gmc,SUV,full-size,2008,excellent,gas,172000,automatic,4wd,8 cylinders,custom,8000~16000
kia,sedan,compact,2018,good,gas,20093,automatic,fwd,4 cylinders,white,8000~16000
nissan,sedan,compact,2017,excellent,gas,30452,automatic,fwd,4 cylinders,silver,8000~16000
nissan,sedan,mid-size,2013,excellent,gas,51700,automatic,fwd,4 cylinders,white,8000~16000
dodge,mini-van,mid-size,2013,good,gas,59908,automatic,rwd,6 cylinders,white,8000~16000
ford,sedan,mid-size,2016,excellent,gas,70181,automatic,fwd,4 cylinders,grey,8000~16000
acura,SUV,full-size,2008,like new,gas,91512,automatic,4wd,6 cylinders,silver,8000~16000
toyota,sedan,compact,2013,excellent,gas,91596,automatic,fwd,4 cylinders,red,8000~16000
bmw,coupe,sub-compact,2010,excellent,gas,92495,automatic,rwd,6 cylinders,grey,8000~16000
chevrolet,SUV,full-size,2005,excellent,gas,92936,automatic,4wd,8 cylinders,custom,8000~16000
ford,van,full-size,2007,good,gas,93218,automatic,rwd,8 cylinders,white,8000~16000
subaru,SUV,full-size,2015,excellent,gas,96686,automatic,4wd,4 cylinders,grey,8000~16000
bmw,convertible,mid-size,2009,good,gas,103349,automatic,rwd,6 cylinders,silver,8000~16000
lexus,sedan,mid-size,2011,excellent,gas,107000,automatic,fwd,6 cylinders,red,8000~16000
lexus,sedan,compact,2012,excellent,hybrid,109223,automatic,fwd,4 cylinders,silver,8000~16000
hyundai,sedan,full-size,2016,excellent,gas,113152,automatic,fwd,4 cylinders,blue,8000~16000
jeep,SUV,full-size,2012,excellent,gas,135300,automatic,4wd,6 cylinders,black,8000~16000
gmc,pickup,full-size,2008,excellent,gas,151609,automatic,4wd,8 cylinders,black,8000~16000
gmc,SUV,full-size,2008,excellent,gas,168102,automatic,4wd,8 cylinders,black,8000~16000
chevrolet,SUV,full-size,2008,excellent,gas,169000,automatic,rwd,8 cylinders,white,8000~16000
gmc,truck,full-size,2005,good,diesel,176488,automatic,rwd,8 cylinders,white,8000~16000
ram,truck,full-size,2008,good,gas,108056,automatic,rwd,8 cylinders,white,8000~16000
ford,convertible,compact,2005,excellent,gas,102594,automatic,rwd,8 cylinders,silver,8000~16000
cadillac,sedan,mid-size,2012,excellent,gas,122771,automatic,rwd,6 cylinders,grey,8000~16000
bmw,sedan,mid-size,2013,excellent,gas,143201,automatic,rwd,4 cylinders,blue,8000~16000
toyota,pickup,full-size,2009,excellent,gas,145485,automatic,rwd,4 cylinders,grey,8000~16000
pontiac,sedan,full-size,2002,good,gas,24500,automatic,fwd,6 cylinders,purple,8000~16000
cadillac,other,full-size,2001,like new,gas,26000,automatic,fwd,8 cylinders,custom,8000~16000
gmc,truck,full-size,2010,good,gas,89240,automatic,rwd,8 cylinders,white,8000~16000
nissan,sedan,mid-size,2017,like new,gas,92600,automatic,fwd,6 cylinders,black,8000~16000
ford,coupe,full-size,2014,excellent,gas,99356,automatic,rwd,6 cylinders,green,8000~16000
dodge,coupe,full-size,2011,good,gas,109000,manual,rwd,8 cylinders,red,8000~16000
bmw,SUV,mid-size,2006,excellent,gas,115000,automatic,4wd,8 cylinders,black,8000~16000
ram,pickup,compact,2007,excellent,gas,116000,automatic,4wd,8 cylinders,silver,8000~16000
audi,sedan,mid-size,2012,like new,gas,124000,automatic,4wd,4 cylinders,white,8000~16000
ford,van,full-size,2001,good,diesel,295000,automatic,4wd,8 cylinders,white,8000~16000
nissan,sedan,compact,2016,excellent,gas,29200,automatic,fwd,4 cylinders,grey,8000~16000
ford,pickup,full-size,2004,excellent,gas,198000,automatic,4wd,8 cylinders,black,8000~16000
volkswagen,sedan,mid-size,2013,excellent,diesel,50168,automatic,fwd,4 cylinders,blue,8000~16000
ford,hatchback,mid-size,2016,excellent,gas,65132,automatic,fwd,4 cylinders,grey,8000~16000
honda,hatchback,compact,2013,like new,gas,37879,manual,fwd,4 cylinders,blue,8000~16000
chevrolet,SUV,full-size,2007,excellent,gas,120000,automatic,4wd,8 cylinders,grey,8000~16000
hyundai,sedan,compact,2019,like new,gas,37307,automatic,fwd,4 cylinders,red,8000~16000
toyota,SUV,mid-size,2012,new,gas,49120,automatic,4wd,4 cylinders,custom,8000~16000
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,8000~16000
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,8000~16000
honda,SUV,mid-size,2014,excellent,gas,104715,automatic,4wd,4 cylinders,black,8000~16000
ram,truck,full-size,2010,like new,gas,132632,automatic,4wd,8 cylinders,grey,8000~16000
mercedes-benz,sedan,full-size,2012,excellent,gas,123896,automatic,4wd,6 cylinders,black,8000~16000
chevrolet,sedan,mid-size,2017,like new,gas,56347,automatic,fwd,4 cylinders,blue,8000~16000
ford,pickup,full-size,2008,good,gas,70000,manual,rwd,8 cylinders,green,8000~16000
dodge,mini-van,full-size,2014,excellent,gas,71509,automatic,fwd,6 cylinders,white,8000~16000
bmw,wagon,mid-size,2009,excellent,gas,75000,automatic,4wd,6 cylinders,blue,8000~16000
chevrolet,SUV,mid-size,2014,excellent,gas,78000,automatic,4wd,6 cylinders,blue,8000~16000
ford,truck,full-size,2003,excellent,gas,80700,automatic,4wd,8 cylinders,red,8000~16000
mercedes-benz,sedan,full-size,2002,good,gas,82000,automatic,rwd,12 cylinders,blue,8000~16000
infiniti,sedan,mid-size,2011,excellent,gas,87700,automatic,4wd,6 cylinders,grey,8000~16000
chevrolet,truck,full-size,2005,excellent,gas,105125,automatic,rwd,8 cylinders,black,8000~16000
ford,pickup,full-size,2010,excellent,gas,134000,automatic,rwd,8 cylinders,red,8000~16000
chevrolet,truck,full-size,2005,excellent,diesel,137000,automatic,rwd,8 cylinders,blue,8000~16000
gmc,SUV,full-size,2014,excellent,gas,144000,automatic,4wd,6 cylinders,red,8000~16000
ford,truck,full-size,2011,excellent,gas,146879,automatic,4wd,8 cylinders,blue,8000~16000
ford,truck,full-size,2003,fair,diesel,171656,automatic,4wd,8 cylinders,white,8000~16000
cadillac,SUV,full-size,2009,excellent,gas,188000,automatic,4wd,8 cylinders,white,8000~16000
gmc,truck,full-size,2005,excellent,gas,157505,automatic,4wd,8 cylinders,white,8000~16000
honda,sedan,mid-size,2014,excellent,gas,97619,automatic,fwd,4 cylinders,silver,8000~16000
